freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MPPS_EU27_2020,P31_S14,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20089.2 	20867.6 	22900.3 	22533.1 	22214.9 	24068.2 	25988.5 	28860.8 	30084.8 	31827.5 	33759.9 	35948.0 	38997.1 	41519.8 	38219.3 	37966.6 	39800.3 	40694.7 	40895.0 	39791.3 	40212.7 	41127.2 	43069.6 	44758.4 	47169.5 	45295.9 	51785.4 	57988.4 	63751.8 	67143.3 p	68955.2 p
A,CP_MPPS_EU27_2020,P31_S14,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42096.2 	42472.8 	42678.5 	45057.4 	49352.8 	53309.0 	58577.7 	64313.4 	70618.5 	71771.5 	75071.5 	76197.7 	80024.6 	84098.8 	81508.4 	84146.1 	87496.0 	88612.7 	88406.5 	87880.9 	89678.5 	92080.7 	96021.2 	100472.6 	106270.0 	104754.7 	111559.9 	126830.1 	130660.5 	143573.7 	151789.3 p
A,CP_MPPS_EU27_2020,P31_S14,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29290.7 	32550.9 	34149.5 	37088.8 	39598.4 	44185.6 	46865.9 	49831.4 	52079.0 	55344.5 	59141.5 	64680.7 	72057.6 	72976.7 	65661.0 	68570.5 	68566.5 	68986.7 	69421.5 	70890.1 	74934.9 	77402.0 	79895.5 	84717.8 	85042.6 	76236.3 	88221.2 	106075.8 	116735.4 	123064.0 	128451.9 
A,CP_MPPS_EU27_2020,P31_S14,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2956.4 	3141.5 	3356.1 	3631.9 	3914.6 	4006.1 	4007.5 	4010.8 	4230.9 	4637.0 	5123.8 	5221.3 	5483.1 	5380.8 	4983.4 	4759.0 	4881.4 	5147.5 	5258.5 	5442.5 	5590.7 	5889.6 	6298.9 	6588.4 	6783.0 	6493.8 	7272.1 	8586.6 	9204.7 	9482.5 	9880.3 
A,CP_MPPS_EU27_2020,P31_S14,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	617624.0 	639879.7 	661617.2 	696348.9 	724789.6 	764335.6 	775836.2 	783570.3 	805089.2 	810989.0 	838101.0 	879817.7 	919086.2 	952604.9 	923232.0 	947150.0 	979863.1 	975287.6 	955157.1 	950280.7 	973813.2 	1005121.6 	1035105.4 	1053977.8 	1073032.0 	967896.7 	1049142.8 	1207838.4 	1266679.0 	1314578.5 	1343508.4 
A,CP_MPPS_EU27_2020,P31_S14,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11651.1 	12618.7 	13073.4 	14123.5 	15053.1 	15854.5 	17596.9 	18896.5 	21604.7 	23205.2 	25319.5 	27363.5 	30707.9 	33167.4 	29238.4 	29642.6 	31541.2 	33223.4 	34669.1 	35884.7 	36843.7 	38004.0 	39835.4 	41431.5 	43156.8 	41345.0 	46025.4 	50523.0 	52793.2 	55330.1 	56801.7 
A,CP_MPPS_EU27_2020,P31_S14,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5608.9 	5883.7 	6083.6 	6532.1 	7080.6 	7701.4 	8043.8 	8566.1 	8898.9 	9268.9 	9584.0 	10233.0 	10571.7 	11201.0 	10959.0 	11260.1 	11851.7 	12266.5 	12423.2 	12955.2 	13555.0 	14084.0 	14702.4 	15240.1 	15425.8 	13868.3 	15765.4 	17913.6 	19447.6 	20496.4 	21223.1 p
A,CP_MPPS_EU27_2020,P31_S14,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7348.2 	7998.5 	8647.1 	8827.2 	9404.8 	9655.4 	10583.7 	11253.6 	12055.9 	13234.8 	14569.2 	16339.0 	17362.9 	17431.0 	15535.2 	16902.9 	17026.7 	17958.0 	19070.0 	19271.7 	19744.8 	20501.2 	21412.1 	22230.3 	22486.8 	21549.3 	24149.4 	27425.0 	28664.9 	29491.1 	30739.9 
A,CP_MPPS_EU27_2020,P31_S14,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4778.6 	5317.8 	5911.4 	4944.8 	5138.3 	5329.4 	5171.1 	5296.2 	5402.9 	5593.0 	5932.2 	6212.1 	6472.4 	6791.3 	6614.5 	6860.4 	8179.7 	9138.2 	10328.9 	11230.0 p
A,CP_MPPS_EU27_2020,P31_S14,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7732.8 	7242.2 	8096.6 	8660.7 	9542.1 	10384.3 	11021.2 	11571.3 	13023.1 	12957.6 	13203.0 	13103.2 	13246.2 	13448.2 	13720.4 	14063.5 	14369.6 	14698.5 	15356.5 	15926.8 	15433.0 	17340.3 	18760.3 	19510.8 	20306.3 p	20985.3 e
